Layer 1 ,Layer 2 ,ten_day_comb,Shape_Area,Shape_Area,time_since_first,jaccard_4,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,two_week_comb,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,one_week_comb,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3,18_day_combinations,Layer1,Layer2,Shape_Area,Shape_Area,jaccard,time_since
July11_July20,Aug11_Aug20,5_8,0,0.0113756088,3,0,,,,,,,,June15_June21,July27_Aug2,0.000012,0.000781,one_week_3_9,6,0.01536491677,,,,,,,,,,,,,,
July11_July20,Aug21_Aug31,5_9,0,0.0279316471,4,0,,,,,,,,June15_June21,Aug3_Aug9,0.000012,0.007593,one_week_3_10,7,0.001580403003,,,,,,,,,,,,,,
July21_July31,Aug1_Aug10,6_7,0.004152,0.0123611714,1,0.3358904966,,,,,,,,June15_June21,Aug10_Aug16,0.000012,0.005295,one_week_3_11,8,0.002266288952,,,,,,,,,,,,,,
July21_July31,Aug11_Aug20,6_8,0,0.00807384,2,0,,,,,,,,June15_June21,Aug17_Aug23,0,0.003579,one_week_3_12,9,0,,,,,,,,,,,,,,
July21_July31,Aug21_Aug31,6_9,0.000009,0.0246211973,3,0.0003655386816,,,,,,,,June15_June21,Aug24_Aug31,0,0.006348,one_week_3_13,10,0,,,,,,,,,,,,,,
Aug1_Aug10,Aug11_Aug20,7_8,0.000127,0.0143689153,1,0.00883852381,,,,,,,,June22_June28,June29_July5,0,0.000008,one_week_4_5,1,0,,,,,,,,,,,,,,
Aug1_Aug10,Aug21_Aug31,7_9,0.003344,0.0277074675,2,0.1206894856,,,,,,,,June22_June28,July6_July12,0,0.001208,one_week_4_6,2,0,,,,,,,,,,,,,,
Aug11_Aug20,Aug21_Aug31,8_9,0.000255,0.0223575876,1,0.01140552391,,,,,,,,June22_June28,July13_July19,0,0.00815,one_week_4_7,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June22_June28,July20_July26,0,0.004443,one_week_4_8,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June22_June28,July27_Aug2,0,0.000782,one_week_4_9,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June22_June28,Aug3_Aug9,0,0.007593,one_week_4_10,6,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June22_June28,Aug10_Aug16,0,0.005285,one_week_4_11,7,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June22_June28,Aug17_Aug23,0,0.003569,one_week_4_12,8,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June22_June28,Aug24_Aug31,0,0.00634,one_week_4_13,9,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,July6_July12,0,0.001208,one_week_5_6,1,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,July13_July19,0,0.008157,one_week_5_7,2,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,July20_July26,0,0.004444,one_week_5_8,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,July27_Aug2,0,0.000782,one_week_5_9,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,Aug3_Aug9,0,0.007593,one_week_5_10,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,Aug10_Aug16,0,0.005292,one_week_5_11,6,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,Aug17_Aug23,0,0.007143,one_week_5_12,7,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,June29_July5,Aug24_Aug31,0,0.006347,one_week_5_13,8,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,July13_July19,0,0.009328,one_week_6_7,1,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,July20_July26,0,0.005174,one_week_6_8,2,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,July27_Aug2,0,0.001299,one_week_6_9,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,Aug3_Aug9,0,0.007762,one_week_6_10,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,Aug10_Aug16,0,0.006491,one_week_6_11,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,Aug17_Aug23,0,0.004775,one_week_6_12,6,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July6_July12,Aug24_Aug31,0,0.00754,one_week_6_13,7,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July13_July19,July20_July26,0,0.012114,one_week_7_8,1,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July13_July19,July27_Aug2,0,0.012144,one_week_7_9,2,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July13_July19,Aug3_Aug9,0,0.012144,one_week_7_10,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July13_July19,Aug10_Aug16,0,0.012144,one_week_7_11,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July13_July19,Aug17_Aug23,0,0.012144,one_week_7_12,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July13_July19,Aug24_Aug31,0,0.012144,one_week_7_13,6,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July20_July26,July27_Aug2,0,0.004442,one_week_8_9,1,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July20_July26,Aug3_Aug9,0,0.004442,one_week_8_10,2,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July20_July26,Aug10_Aug16,0,0.004442,one_week_8_11,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July20_July26,Aug17_Aug23,0,0.008009,one_week_8_12,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July20_July26,Aug24_Aug31,0,0.008009,one_week_8_13,5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July27_Aug2,Aug3_Aug9,0,0.004348,one_week_9_10,1,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July27_Aug2,Aug10_Aug16,0,0.004348,one_week_9_11,2,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July27_Aug2,Aug17_Aug23,0,0.004348,one_week_9_12,3,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,July27_Aug2,Aug24_Aug31,0,0.004348,one_week_9_13,4,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Aug3_Aug9,Aug10_Aug16,0.000283,0.010876,one_week_10_11,1,0.02602059581,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Aug3_Aug9,Aug17_Aug23,0.000283,0.010876,one_week_10_12,2,0.02602059581,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Aug3_Aug9,Aug24_Aug31,0.000283,0.010876,one_week_10_13,3,0.02602059581,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Aug10_Aug16,Aug17_Aug23,0.0009,0.007927,one_week_11_12,1,0.1135360161,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Aug10_Aug16,Aug24_Aug31,0.0009,0.007927,one_week_11_13,2,0.1135360161,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Aug17_Aug23,Aug24_Aug31,0.003567,0.003567,one_week_12_13,1,1,,,,,,,,,,,,,,
