2Layer1 ,2Layer2,two_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,one_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3
,,,,,,,July20_July26,Aug10_Aug16,one_week_8_11,0,0.0038369487,3,0,,,,,,,
,,,,,,,July20_July26,Aug17_Aug23,one_week_8_12,0,0.0058769745,4,0,,,,,,,
,,,,,,,July20_July26,Aug24_Aug31,one_week_8_13,0,0.0309043177,5,0,,,,,,,
,,,,,,,July27_Aug2,Aug3_Aug9,one_week_9_10,0.001031,0.0127519838,1,0.08085016545,,,,,,,
,,,,,,,July27_Aug2,Aug10_Aug16,one_week_9_11,0,0.0045929035,2,0,,,,,,,
,,,,,,,July27_Aug2,Aug17_Aug23,one_week_9_12,0,0.0066329293,3,0,,,,,,,
,,,,,,,July27_Aug2,Aug24_Aug31,one_week_9_13,0.002366,0.0292944078,4,0.0807662683,,,,,,,
,,,,,,,Aug3_Aug9,Aug10_Aug16,one_week_10_11,0,0.0126494685,1,0,,,,,,,
,,,,,,,Aug3_Aug9,Aug17_Aug23,one_week_10_12,0,0.0146894943,2,0,,,,,,,
,,,,,,,Aug3_Aug9,Aug24_Aug31,one_week_10_13,0.003187,0.0365296374,3,0.08724422761,,,,,,,
,,,,,,,Aug10_Aug16,Aug17_Aug23,one_week_11_12,0.000155,0.0053434533,1,0.02900745853,,,,,,,
,,,,,,,Aug10_Aug16,Aug24_Aug31,one_week_11_13,0,0.0305262745,2,0,,,,,,,
,,,,,,,Aug17_Aug23,Aug24_Aug31,one_week_12_13,0.000012,0.0325543203,1,0.0003686146689,,,,,,,
